                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1627,                  3.675,                 1.4554,                 1.3508,                0.71767,                0.45338,                0.57454,                0.32521,                0.67689,                0.40603,                0.51221,                0.22268,                 1.9113,                 3.2199,                 1.1235,                 1.1557,             0.00023445,             0.00023445,             0.00023445
                      2,                 1.6965,                 2.9597,                0.84488,                  1.112,                0.68073,                0.38597,                0.52118,                0.29903,                0.65632,                0.33373,                0.45383,                0.20062,                 2.0232,                 3.6183,                    1.1,                 1.2221,             0.00042568,             0.00042568,             0.00042568
                      3,                  1.657,                 2.8425,                0.82345,                 1.1032,                0.69137,                0.37738,                0.51391,                0.29196,                0.66464,                0.31602,                0.42327,                0.17911,                 2.0598,                 4.2764,                  1.136,                 1.2495,             0.00056978,             0.00056978,             0.00056978
                      4,                 1.6135,                 2.7442,                0.78761,                 1.0788,                0.69641,                0.40452,                0.53814,                0.30234,                0.67042,                0.36166,                0.47813,                0.20862,                  2.082,                 3.4288,                 1.1257,                 1.2498,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.5995,                 2.6718,                0.77784,                 1.0819,                0.79698,                  0.486,                0.62511,                0.36888,                0.76969,                0.45784,                0.58048,                0.25399,                 1.7444,                 2.8941,                 0.8897,                 1.1243,             0.00043126,             0.00043126,             0.00043126
                      6,                 1.5708,                 2.6099,                0.76368,                 1.0679,                0.83368,                0.51865,                0.65352,                0.40254,                0.81518,                0.49992,                 0.6226,                0.29831,                 1.6372,                 2.6229,                0.79147,                 1.0892,             0.00036057,             0.00036057,             0.00036057
                      7,                 1.5534,                 2.6142,                0.74736,                 1.0594,                0.83868,                0.52111,                0.65813,                 0.4209,                0.82366,                0.50555,                0.63511,                0.31547,                 1.5478,                 2.5204,                0.76976,                 1.0574,             0.00028988,             0.00028988,             0.00028988
                      8,                 1.5267,                 2.6207,                0.73208,                 1.0489,                0.83931,                0.51709,                0.65627,                0.40366,                0.82451,                0.50351,                0.63344,                0.31963,                 1.5959,                 2.5276,                 0.7878,                  1.058,              0.0002192,              0.0002192,              0.0002192
                      9,                 1.5454,                 2.5647,                0.73741,                 1.0577,                0.81918,                0.51817,                0.65198,                0.41416,                0.79981,                0.50028,                0.62184,                 0.2993,                 1.5449,                 2.5402,                0.77305,                 1.0527,             0.00014851,             0.00014851,             0.00014851
                     10,                 1.5154,                 2.5013,                0.71816,                 1.0478,                0.83907,                0.52372,                0.66074,                0.42092,                0.81939,                0.50734,                0.63408,                0.31246,                 1.5443,                  2.468,                0.75457,                 1.0491,             7.7826e-05,             7.7826e-05,             7.7826e-05
